id	filename	mimetype	size	alt_text	title	caption	path	gcs_url	createdAt
39	1760667319178-45697549.jpg	image/jpeg	100000	Image 39	1760667319178 45697549	NULL	1760667319178-45697549.jpg	NULL	2026-02-13 13:17:40
40	1760667319194-476636975.jpg	image/jpeg	100000	Image 40	1760667319194 476636975	NULL	1760667319194-476636975.jpg	NULL	2026-02-13 13:17:40
41	1760667319220-493703850.jpg	image/jpeg	100000	Image 41	1760667319220 493703850	NULL	1760667319220-493703850.jpg	NULL	2026-02-13 13:17:40
42	1760667702326-339170852.jpg	image/jpeg	100000	Image 42	1760667702326 339170852	NULL	1760667702326-339170852.jpg	NULL	2026-02-13 13:17:40
43	1760667702347-168565394.jpg	image/jpeg	100000	Image 43	1760667702347 168565394	NULL	1760667702347-168565394.jpg	NULL	2026-02-13 13:17:40
44	1760667702360-141870064.jpg	image/jpeg	100000	Image 44	1760667702360 141870064	NULL	1760667702360-141870064.jpg	NULL	2026-02-13 13:17:40
45	1760667702375-788713786.jpg	image/jpeg	100000	Image 45	1760667702375 788713786	NULL	1760667702375-788713786.jpg	NULL	2026-02-13 13:17:40
46	1760667702439-395513598.jpg	image/jpeg	100000	Image 46	1760667702439 395513598	NULL	1760667702439-395513598.jpg	NULL	2026-02-13 13:17:40
47	1760667702461-822671949.jpg	image/jpeg	100000	Image 47	1760667702461 822671949	NULL	1760667702461-822671949.jpg	NULL	2026-02-13 13:17:40
48	1760668557804-359006634.webp	image/webp	100000	Image 48	1760668557804 359006634	NULL	1760668557804-359006634.webp	NULL	2026-02-13 13:17:40
49	1760682323887-43430203.jpg	image/jpeg	100000	Image 49	1760682323887 43430203	NULL	1760682323887-43430203.jpg	NULL	2026-02-13 13:17:40
50	1760683110193-512811764.png	image/png	100000	Image 50	1760683110193 512811764	NULL	1760683110193-512811764.png	NULL	2026-02-13 13:17:40
51	1760683110197-958312927.png	image/png	100000	Image 51	1760683110197 958312927	NULL	1760683110197-958312927.png	NULL	2026-02-13 13:17:40
52	1760683110201-45222818.png	image/png	100000	Image 52	1760683110201 45222818	NULL	1760683110201-45222818.png	NULL	2026-02-13 13:17:40
53	1760683110204-685286322.png	image/png	100000	Image 53	1760683110204 685286322	NULL	1760683110204-685286322.png	NULL	2026-02-13 13:17:40
54	1760683110206-432206248.png	image/png	100000	Image 54	1760683110206 432206248	NULL	1760683110206-432206248.png	NULL	2026-02-13 13:17:40
55	1760683132741-130909905.png	image/png	100000	Image 55	1760683132741 130909905	NULL	1760683132741-130909905.png	NULL	2026-02-13 13:17:40
56	1760683132745-451033024.png	image/png	100000	Image 56	1760683132745 451033024	NULL	1760683132745-451033024.png	NULL	2026-02-13 13:17:40
57	1760683132749-252489456.png	image/png	100000	Image 57	1760683132749 252489456	NULL	1760683132749-252489456.png	NULL	2026-02-13 13:17:40
58	1760683132751-989630557.png	image/png	100000	Image 58	1760683132751 989630557	NULL	1760683132751-989630557.png	NULL	2026-02-13 13:17:40
59	1760683132755-829682638.png	image/png	100000	Image 59	1760683132755 829682638	NULL	1760683132755-829682638.png	NULL	2026-02-13 13:17:40
60	1760683362988-867319341.png	image/png	100000	Image 60	1760683362988 867319341	NULL	1760683362988-867319341.png	NULL	2026-02-13 13:17:40
61	bali-essentials---logo-primary.webp	image/webp	94388	NULL	NULL	NULL	uploads/bali-essentials---logo-primary.webp	NULL	2026-02-17 10:30:49
62	1728718491-12-10-2024-uh0kynaib15irvzvqunoslc6jf4gg9qf.webp	image/webp	46724	NULL	NULL	NULL	uploads/1728718491-12-10-2024-uh0kynaib15irvzvqunoslc6jf4gg9qf.webp	NULL	2026-03-02 15:40:38
63	bali-essentials---logo-primary-1.webp	image/webp	94388	NULL	NULL	NULL	uploads/bali-essentials---logo-primary-1.webp	https://storage.googleapis.com/gda-s01-bucket/essentialbali/uploads/bali-essentials---logo-primary-1.webp	2026-03-03 09:35:15
64	660a671b-cfca-4654-9754-525fe6b97144.webp	image/webp	211470	NULL	NULL	NULL	uploads/660a671b-cfca-4654-9754-525fe6b97144.webp	https://storage.googleapis.com/gda-s01-bucket/essentialbali/uploads/660a671b-cfca-4654-9754-525fe6b97144.webp	2026-03-03 09:45:34
65	1728718491-12-10-2024-uh0kynaib15irvzvqunoslc6jf4gg9qf-1.webp	image/webp	46724	NULL	NULL	NULL	uploads/1728718491-12-10-2024-uh0kynaib15irvzvqunoslc6jf4gg9qf-1.webp	https://storage.googleapis.com/gda-s01-bucket/essentialbali/uploads/1728718491-12-10-2024-uh0kynaib15irvzvqunoslc6jf4gg9qf-1.webp	2026-03-03 10:09:46
